,city,latitude,longitude,temperature,humidity,cloudiness,wind,description,country
321,severo-kurilsk,50.68,156.12,52.77,89,28,11.34,scattered clouds,RU
322,butaritari,3.07,172.79,82.89,73,42,7.72,scattered clouds,KI
323,faanui,-16.48,-151.75,77.79,81,2,14.83,clear sky,PF
324,cape town,-33.93,18.42,63.0,87,0,3.36,clear sky,ZA
325,sistranda,63.73,8.83,51.8,93,75,18.34,light rain,NO
326,matara,5.95,80.54,79.03,89,97,8.61,overcast clouds,LK
327,banda aceh,5.56,95.32,80.47,79,99,8.03,overcast clouds,ID
328,fez,34.04,-5.0,93.2,28,20,12.75,few clouds,MA
329,east london,-33.02,27.91,59.0,100,20,3.36,few clouds,ZA
330,khatanga,71.97,102.5,43.48,76,4,7.85,clear sky,RU
331,tasiilaq,65.61,-37.64,35.6,100,7,3.36,clear sky,GL
332,pacific grove,36.62,-121.92,96.01,57,1,3.36,haze,US
333,busselton,-33.65,115.33,48.99,78,2,10.94,clear sky,AU
334,tasiilaq,65.61,-37.64,35.6,100,7,3.36,clear sky,GL
335,constitucion,-35.33,-72.42,56.64,66,66,7.7,broken clouds,CL
336,teya,60.38,92.63,46.69,82,100,2.59,overcast clouds,RU
337,payakumbuh,-0.22,100.63,69.85,86,76,1.5,broken clouds,ID
338,atuona,-9.8,-139.03,78.87,72,11,23.0,few clouds,PF
339,qaqortoq,60.72,-46.03,50.0,76,40,6.93,scattered clouds,GL
340,hami,42.8,93.45,74.73,27,81,8.16,broken clouds,CN
341,longyearbyen,78.22,15.64,39.2,87,40,10.29,scattered clouds,SJ
342,albany,42.6,-73.97,78.01,46,36,5.01,scattered clouds,US
343,saint-pierre,-21.34,55.48,69.8,94,90,16.11,mist,RE
344,punta arenas,-53.15,-70.92,44.6,75,100,8.05,overcast clouds,CL
345,mahebourg,-20.41,57.7,71.6,94,75,8.05,shower rain,MU
346,jamestown,42.1,-79.24,66.99,88,20,19.46,few clouds,US
347,taoudenni,22.68,-3.98,107.49,11,45,4.94,scattered clouds,ML
348,busselton,-33.65,115.33,48.99,78,2,10.94,clear sky,AU
349,cape town,-33.93,18.42,63.0,87,0,3.36,clear sky,ZA
350,rikitea,-23.12,-134.97,73.18,83,2,11.9,clear sky,PF
351,tomohon,1.33,124.84,75.2,100,40,2.24,scattered clouds,ID
352,tomatlan,19.93,-105.25,89.2,55,86,3.94,overcast clouds,MX
353,monte alegre,-2.01,-54.07,95.56,37,34,4.23,scattered clouds,BR
354,kahului,20.89,-156.47,82.4,61,20,11.41,few clouds,US
355,atuona,-9.8,-139.03,78.87,72,11,23.0,few clouds,PF
356,nueva concepcion,14.2,-91.3,89.6,59,40,6.93,scattered clouds,GT
357,ushuaia,-54.8,-68.3,48.2,69,75,9.17,broken clouds,AR
358,rikitea,-23.12,-134.97,73.18,83,2,11.9,clear sky,PF
359,kathu,7.92,98.33,87.01,83,20,5.82,few clouds,TH
360,cape town,-33.93,18.42,63.0,87,0,3.36,clear sky,ZA
361,anadyr,64.75,177.48,30.2,86,0,2.24,clear sky,RU
362,tuktoyaktuk,69.45,-133.04,46.4,75,90,12.75,overcast clouds,CA
363,xushan,30.18,121.25,86.0,78,0,4.47,clear sky,CN
364,saskylakh,71.92,114.08,42.39,72,0,8.16,clear sky,RU
365,barrow,71.29,-156.79,35.6,93,90,19.46,mist,US
366,busselton,-33.65,115.33,48.99,78,2,10.94,clear sky,AU
367,kudahuvadhoo,2.67,72.89,83.01,78,90,14.29,overcast clouds,MV
368,vanavara,60.34,102.28,44.76,85,91,5.44,overcast clouds,RU
369,seminole,28.71,-81.21,93.99,52,75,9.17,broken clouds,US
370,vaini,-21.2,-175.2,68.0,88,75,6.93,broken clouds,TO
371,atuona,-9.8,-139.03,78.87,72,11,23.0,few clouds,PF
372,dakar,14.69,-17.44,82.4,78,75,21.92,broken clouds,SN
373,yamada,39.47,141.95,76.01,86,19,7.81,few clouds,JP
