city,country,temperature,description,latitude,longitude,Hotel Name
nioaque,BR,97.12,overcast clouds,-21.14,-55.83,Nioaque Novo Hotel
airai,TL,56.57,broken clouds,-8.93,125.41,Juvinal Martin
sambava,MG,71.58,clear sky,-14.27,50.17,Melrose
butaritari,KI,82.89,scattered clouds,3.07,172.79,Isles Sunset Lodge
ribeira grande,PT,71.6,scattered clouds,38.52,-28.7,Quinta da Meia Eira
yellowknife,CA,51.01,broken clouds,62.46,-114.35,The Explorer Hotel
rikitea,PF,73.18,clear sky,-23.12,-134.97,Pension Maro'i
bengkulu,ID,76.1,light rain,-3.8,102.27,Grage Hotel Bengkulu
korla,CN,75.99,broken clouds,41.76,86.15,Gulisitan Hotel
norman wells,CA,51.8,overcast clouds,65.28,-126.83,Heritage Hotel
port alfred,ZA,62.04,clear sky,-33.59,26.89,The Halyards Hotel
san quintin,MX,81.97,clear sky,30.48,-115.95,Old Mill Hotel
san patricio,MX,86.0,broken clouds,19.22,-104.7,Hotel Cabo Blanco
agadir,MA,75.2,clear sky,30.42,-9.6,Iberostar Founty Beach
marsaxlokk,MT,80.01,few clouds,35.84,14.54,Water's Edge
kaniama,CD,78.62,clear sky,-7.57,24.18,
mersing,MY,77.0,broken clouds,2.43,103.84,Timotel Hotel
victoria,HK,84.99,moderate rain,22.29,114.16,Mini Hotel Central
hermanus,ZA,59.63,clear sky,-34.42,19.23,Misty Waves Boutique Hotel
avarua,CK,73.4,few clouds,-21.21,-159.78,Paradise Inn
